universe,knob,knob_name,setting
1,6,FracPN_CCMEC,0.285126
1,7,FracDelta_CCMEC,-0.398092
1,8,MaCCRES,1.73425
1,9,MvCCRES,0.276196
1,10,MaNCRES,0.837116
1,11,MvNCRES,-1.26339
1,12,NonRESBGvpCC1pi,0.103972
1,13,NonRESBGvpCC2pi,-0.170545
1,14,NonRESBGvpNC1pi,0.904013
1,15,NonRESBGvpNC2pi,2.65798
1,16,NonRESBGvnCC1pi,0.693655
1,17,NonRESBGvnCC2pi,-0.141249
1,18,NonRESBGvnNC1pi,-0.0244448
1,19,NonRESBGvnNC2pi,0.746142
1,20,NonRESBGvbarpCC1pi,-1.97873
1,21,NonRESBGvbarpCC2pi,1.57596
1,22,NonRESBGvbarpNC1pi,-0.262098
1,23,NonRESBGvbarpNC2pi,-1.57394
1,24,NonRESBGvbarnCC1pi,0.739996
1,25,NonRESBGvbarnCC2pi,0.720752
1,26,NonRESBGvbarnNC1pi,0.479282
1,27,NonRESBGvbarnNC2pi,-1.21035
1,28,AhtBY,-0.6005
1,29,BhtBY,0.405317
1,30,CV1uBY,-1.73942
1,31,CV2uBY,1.87803
1,32,AGKYxF1pi,-0.5468
1,33,AGKYpT1pi,-0.577692
1,34,MFP_pi,0.413735
1,35,MFP_N,0.9835
1,36,FrCEx_pi,-0.813496
1,37,FrInel_pi,-0.861713
1,38,FrAbs_pi,1.36748
1,39,FrCEx_N,-1.20298
1,40,FrInel_N,-1.47495
1,41,FrAbs_N,-0.450136
1,42,RDecBR1gamma,-1.84206
1,43,RDecBR1eta,0.153761
1,44,XSecShape_CCMEC,1
1,45,RPA_CCQE,0.151
2,0,MaCCQE,-3.23048
2,1,CoulombCCQE,2.64824
2,2,MaNCEL,-0.827417
2,3,EtaNCEL,0.374072
2,4,NormCCMEC,-0.23521
2,5,NormNCMEC,1.18326
2,6,FracPN_CCMEC,0.923708
2,7,FracDelta_CCMEC,0.0319099
2,8,MaCCRES,1.67307
2,9,MvCCRES,0.522873
2,10,MaNCRES,0.0950587
2,11,MvNCRES,0.297419
2,12,NonRESBGvpCC1pi,0.588585
2,13,NonRESBGvpCC2pi,-0.999663
2,14,NonRESBGvpNC1pi,-1.70767
2,15,NonRESBGvpNC2pi,0.103933
2,16,NonRESBGvnCC1pi,0.37428
2,17,NonRESBGvnCC2pi,-0.290197
2,18,NonRESBGvnNC1pi,-1.13118
2,19,NonRESBGvnNC2pi,-0.606739
2,20,NonRESBGvbarpCC1pi,-1.15671
2,21,NonRESBGvbarpCC2pi,-0.266131
2,22,NonRESBGvbarpNC1pi,0.54881
2,23,NonRESBGvbarpNC2pi,-0.471377
2,24,NonRESBGvbarnCC1pi,1.91086
2,25,NonRESBGvbarnCC2pi,-0.0623907
2,26,NonRESBGvbarnNC1pi,1.56564
2,27,NonRESBGvbarnNC2pi,1.64999
2,28,AhtBY,-1.35508
2,29,BhtBY,-1.41596
2,30,CV1uBY,-1.41444
2,31,CV2uBY,0.692779
2,32,AGKYxF1pi,-1.70957
2,33,AGKYpT1pi,0.336151
2,34,MFP_pi,-0.783001
2,35,MFP_N,-0.142277
2,36,FrCEx_pi,-0.102434
2,37,FrInel_pi,-1.8757
2,38,FrAbs_pi,1.23072
2,39,FrCEx_N,-1.0238
2,40,FrInel_N,0.482545
2,41,FrAbs_N,-1.10012
2,42,RDecBR1gamma,-1.01624
2,43,RDecBR1eta,-1.16948
2,44,XSecShape_CCMEC,1
2,45,RPA_CCQE,0.151
3,0,MaCCQE,7.60767
3,1,CoulombCCQE,-0.371268
3,2,MaNCEL,0.735236
3,3,EtaNCEL,1.36506
3,4,NormCCMEC,1.26161
3,5,NormNCMEC,0.700334
3,6,FracPN_CCMEC,0.346822
3,7,FracDelta_CCMEC,-1.41797
3,8,MaCCRES,-0.485342
3,9,MvCCRES,0.18812
3,10,MaNCRES,-0.956559
3,11,MvNCRES,-0.833455
3,12,NonRESBGvpCC1pi,-0.299517
3,13,NonRESBGvpCC2pi,1.56019
3,14,NonRESBGvpNC1pi,-1.37696
3,15,NonRESBGvpNC2pi,0.133283
3,16,NonRESBGvnCC1pi,-0.551149
3,17,NonRESBGvnCC2pi,0.38094
3,18,NonRESBGvnNC1pi,0.301145
3,19,NonRESBGvnNC2pi,-0.885598
3,20,NonRESBGvbarpCC1pi,-2.04898
3,21,NonRESBGvbarpCC2pi,2.18169
3,22,NonRESBGvbarpNC1pi,0.28704
3,23,NonRESBGvbarpNC2pi,0.230979
3,24,NonRESBGvbarnCC1pi,-1.94241
3,25,NonRESBGvbarnCC2pi,0.602468
3,26,NonRESBGvbarnNC1pi,0.347375
3,27,NonRESBGvbarnNC2pi,0.717978
3,28,AhtBY,-1.03411
3,29,BhtBY,-0.121234
3,30,CV1uBY,-0.506032
3,31,CV2uBY,0.484511
3,32,AGKYxF1pi,0.283759
3,33,AGKYpT1pi,-0.387437
3,34,MFP_pi,-0.472296
3,35,MFP_N,0.421239
3,36,FrCEx_pi,0.000523222
3,37,FrInel_pi,0.37176
3,38,FrAbs_pi,-1.20159
3,39,FrCEx_N,1.10675
3,40,FrInel_N,-0.639253
3,41,FrAbs_N,0.973355
3,42,RDecBR1gamma,0.158259
3,43,RDecBR1eta,0.458671
3,44,XSecShape_CCMEC,1
3,45,RPA_CCQE,0.151
4,0,MaCCQE,2.69695
4,1,CoulombCCQE,-0.24796
4,2,MaNCEL,1.54052
4,3,EtaNCEL,-0.954769
4,4,NormCCMEC,0.495629
4,5,NormNCMEC,0.531475
4,6,FracPN_CCMEC,-0.113693
4,7,FracDelta_CCMEC,0.129156
4,8,MaCCRES,-0.677767
4,9,MvCCRES,-0.974898
4,10,MaNCRES,-0.254029
4,11,MvNCRES,-0.890615
4,12,NonRESBGvpCC1pi,-0.245753
4,13,NonRESBGvpCC2pi,0.374872
4,14,NonRESBGvpNC1pi,0.682414
4,15,NonRESBGvpNC2pi,-0.729021
4,16,NonRESBGvnCC1pi,1.28629
4,17,NonRESBGvnCC2pi,-2.41987
4,18,NonRESBGvnNC1pi,2.06167
4,19,NonRESBGvnNC2pi,0.409013
4,20,NonRESBGvbarpCC1pi,-0.414779
4,21,NonRESBGvbarpCC2pi,-1.17776
4,22,NonRESBGvbarpNC1pi,-0.947123
4,23,NonRESBGvbarpNC2pi,0.356206
4,24,NonRESBGvbarnCC1pi,-1.42024
4,25,NonRESBGvbarnCC2pi,-1.36684
4,26,NonRESBGvbarnNC1pi,-0.348415
4,27,NonRESBGvbarnNC2pi,-1.2688
4,28,AhtBY,-0.811073
4,29,BhtBY,-1.21631
4,30,CV1uBY,0.804881
4,31,CV2uBY,2.30677
4,32,AGKYxF1pi,1.07901
4,33,AGKYpT1pi,0.578666
4,34,MFP_pi,-0.880304
4,35,MFP_N,-2.18051
4,36,FrCEx_pi,1.03787
4,37,FrInel_pi,-0.5422
4,38,FrAbs_pi,-0.30611
4,39,FrCEx_N,-0.448468
4,40,FrInel_N,-1.46363
4,41,FrAbs_N,0.970326
4,42,RDecBR1gamma,-0.427051
4,43,RDecBR1eta,-0.359723
4,44,XSecShape_CCMEC,1
4,45,RPA_CCQE,0.151
5,0,MaCCQE,10.7714
5,1,CoulombCCQE,0.2491
5,2,MaNCEL,-0.401183
5,3,EtaNCEL,1.24414
5,4,NormCCMEC,1.61293
5,5,NormNCMEC,-0.128663
5,6,FracPN_CCMEC,0.531277
5,7,FracDelta_CCMEC,-0.0800317
5,8,MaCCRES,-0.679576
5,9,MvCCRES,0.284184
5,10,MaNCRES,-1.47682
5,11,MvNCRES,-1.10324
5,12,NonRESBGvpCC1pi,0.432592
5,13,NonRESBGvpCC2pi,-1.31446
5,14,NonRESBGvpNC1pi,2.01279
5,15,NonRESBGvpNC2pi,-0.873999
5,16,NonRESBGvnCC1pi,-0.319497
5,17,NonRESBGvnCC2pi,-1.70312
5,18,NonRESBGvnNC1pi,0.578668
5,19,NonRESBGvnNC2pi,2.63554
5,20,NonRESBGvbarpCC1pi,-0.376644
5,21,NonRESBGvbarpCC2pi,1.11139
5,22,NonRESBGvbarpNC1pi,0.419525
5,23,NonRESBGvbarpNC2pi,-0.959036
5,24,NonRESBGvbarnCC1pi,0.124633
5,25,NonRESBGvbarnCC2pi,0.984455
5,26,NonRESBGvbarnNC1pi,3.23687
5,27,NonRESBGvbarnNC2pi,0.611749
5,28,AhtBY,-0.13835
5,29,BhtBY,-0.454905
5,30,CV1uBY,-2.38526
5,31,CV2uBY,-0.553033
5,32,AGKYxF1pi,-0.0622958
5,33,AGKYpT1pi,0.418833
5,34,MFP_pi,0.667256
5,35,MFP_N,0.962866
5,36,FrCEx_pi,0.0358831
5,37,FrInel_pi,1.14481
5,38,FrAbs_pi,0.247138
5,39,FrCEx_N,-1.01031
5,40,FrInel_N,1.01499
5,41,FrAbs_N,0.199303
5,42,RDecBR1gamma,-1.49894
5,43,RDecBR1eta,-0.571433
5,44,XSecShape_CCMEC,1
5,45,RPA_CCQE,0.151
6,0,MaCCQE,4.18075
6,1,CoulombCCQE,-0.319627
6,2,MaNCEL,1.7433
6,3,EtaNCEL,0.976981
6,4,NormCCMEC,0.702591
6,5,NormNCMEC,0.70068
6,6,FracPN_CCMEC,-1.02027
6,7,FracDelta_CCMEC,0.949156
6,8,MaCCRES,-0.45529
6,9,MvCCRES,0.0101389
6,10,MaNCRES,0.0520448
6,11,MvNCRES,-1.97483
6,12,NonRESBGvpCC1pi,0.964358
6,13,NonRESBGvpCC2pi,-0.701567
6,14,NonRESBGvpNC1pi,-0.525737
6,15,NonRESBGvpNC2pi,2.05039
6,16,NonRESBGvnCC1pi,1.59377
6,17,NonRESBGvnCC2pi,0.384842
6,18,NonRESBGvnNC1pi,0.628863
6,19,NonRESBGvnNC2pi,0.244116
6,20,NonRESBGvbarpCC1pi,1.49935
6,21,NonRESBGvbarpCC2pi,-1.19322
6,22,NonRESBGvbarpNC1pi,1.31828
6,23,NonRESBGvbarpNC2pi,-1.03239
6,24,NonRESBGvbarnCC1pi,-0.701286
6,25,NonRESBGvbarnCC2pi,-0.519096
6,26,NonRESBGvbarnNC1pi,-0.506572
6,27,NonRESBGvbarnNC2pi,-0.557134
6,28,AhtBY,0.852604
6,29,BhtBY,-1.46113
6,30,CV1uBY,-0.259793
6,31,CV2uBY,-2.25832
6,32,AGKYxF1pi,-0.293143
6,33,AGKYpT1pi,0.684531
6,34,MFP_pi,-0.0408322
6,35,MFP_N,-0.643629
6,36,FrCEx_pi,-0.0244895
6,37,FrInel_pi,-0.120071
6,38,FrAbs_pi,-1.1209
6,39,FrCEx_N,1.2179
6,40,FrInel_N,0.728231
6,41,FrAbs_N,1.76099
6,42,RDecBR1gamma,0.324356
6,43,RDecBR1eta,-0.0825923
6,44,XSecShape_CCMEC,1
6,45,RPA_CCQE,0.151
7,0,MaCCQE,5.17213
7,1,CoulombCCQE,-2.32373
7,2,MaNCEL,0.424513
7,3,EtaNCEL,-0.643627
7,4,NormCCMEC,1.10664
7,5,NormNCMEC,-1.13097
7,6,FracPN_CCMEC,-0.251321
7,7,FracDelta_CCMEC,0.606819
7,8,MaCCRES,0.883626
7,9,MvCCRES,-2.41985
7,10,MaNCRES,0.500649
7,11,MvNCRES,-0.076146
7,12,NonRESBGvpCC1pi,0.292774
7,13,NonRESBGvpCC2pi,0.95605
7,14,NonRESBGvpNC1pi,-0.958338
7,15,NonRESBGvpNC2pi,-0.109324
7,16,NonRESBGvnCC1pi,-0.844736
7,17,NonRESBGvnCC2pi,-1.27027
7,18,NonRESBGvnNC1pi,0.872201
7,19,NonRESBGvnNC2pi,-0.403012
7,20,NonRESBGvbarpCC1pi,-1.52763
7,21,NonRESBGvbarpCC2pi,0.468894
7,22,NonRESBGvbarpNC1pi,-0.163927
7,23,NonRESBGvbarpNC2pi,-0.316442
7,24,NonRESBGvbarnCC1pi,-0.320926
7,25,NonRESBGvbarnCC2pi,-0.312761
7,26,NonRESBGvbarnNC1pi,0.712444
7,27,NonRESBGvbarnNC2pi,0.475539
7,28,AhtBY,-0.637108
7,29,BhtBY,-0.590486
7,30,CV1uBY,-1.03717
7,31,CV2uBY,-0.433175
7,32,AGKYxF1pi,0.536495
7,33,AGKYpT1pi,-0.792239
7,34,MFP_pi,1.71357
7,35,MFP_N,0.767939
7,36,FrCEx_pi,-1.02996
7,37,FrInel_pi,1.95422
7,38,FrAbs_pi,-0.134407
7,39,FrCEx_N,-1.08568
7,40,FrInel_N,-0.616999
7,41,FrAbs_N,0.148709
7,42,RDecBR1gamma,0.91424
7,43,RDecBR1eta,-0.735453
7,44,XSecShape_CCMEC,1
7,45,RPA_CCQE,0.151
8,0,MaCCQE,8.23117
8,1,CoulombCCQE,-0.638833
8,2,MaNCEL,-2.08135
8,3,EtaNCEL,-1.28742
8,4,NormCCMEC,2.64486
8,5,NormNCMEC,1.13211
8,6,FracPN_CCMEC,-0.321444
8,7,FracDelta_CCMEC,0.227199
8,8,MaCCRES,1.22965
8,9,MvCCRES,-1.51177
8,10,MaNCRES,-2.19055
8,11,MvNCRES,-0.147932
8,12,NonRESBGvpCC1pi,-1.77976
8,13,NonRESBGvpCC2pi,1.00101
8,14,NonRESBGvpNC1pi,-1.05985
8,15,NonRESBGvpNC2pi,1.245
8,16,NonRESBGvnCC1pi,2.54234
8,17,NonRESBGvnCC2pi,-1.49576
8,18,NonRESBGvnNC1pi,-0.82897
8,19,NonRESBGvnNC2pi,-0.310827
8,20,NonRESBGvbarpCC1pi,0.141158
8,21,NonRESBGvbarpCC2pi,-0.590901
8,22,NonRESBGvbarpNC1pi,-0.284874
8,23,NonRESBGvbarpNC2pi,-0.834214
8,24,NonRESBGvbarnCC1pi,0.99261
8,25,NonRESBGvbarnCC2pi,1.2663
8,26,NonRESBGvbarnNC1pi,-0.632546
8,27,NonRESBGvbarnNC2pi,-1.09575
8,28,AhtBY,-0.728447
8,29,BhtBY,0.517217
8,30,CV1uBY,-1.1895
8,31,CV2uBY,-0.390277
8,32,AGKYxF1pi,1.0074
8,33,AGKYpT1pi,0.756381
8,34,MFP_pi,-0.686265
8,35,MFP_N,0.181305
8,36,FrCEx_pi,-0.310731
8,37,FrInel_pi,-0.0691344
8,38,FrAbs_pi,0.0042472
8,39,FrCEx_N,1.82311
8,40,FrInel_N,0.0623564
8,41,FrAbs_N,1.66631
8,42,RDecBR1gamma,-1.13741
8,43,RDecBR1eta,-0.685852
8,44,XSecShape_CCMEC,1
8,45,RPA_CCQE,0.151
9,0,MaCCQE,8.0868
9,1,CoulombCCQE,1.11832
9,2,MaNCEL,-0.700661
9,3,EtaNCEL,-0.15936
9,4,NormCCMEC,1.13009
9,5,NormNCMEC,4.58625
9,6,FracPN_CCMEC,-1.59685
9,7,FracDelta_CCMEC,1.46666
9,8,MaCCRES,-0.121818
9,9,MvCCRES,0.435702
9,10,MaNCRES,-1.20403
9,11,MvNCRES,1.45176
9,12,NonRESBGvpCC1pi,1.80525
9,13,NonRESBGvpCC2pi,-0.522775
9,14,NonRESBGvpNC1pi,0.368086
9,15,NonRESBGvpNC2pi,-1.22239
9,16,NonRESBGvnCC1pi,0.020544
9,17,NonRESBGvnCC2pi,0.696642
9,18,NonRESBGvnNC1pi,0.994085
9,19,NonRESBGvnNC2pi,0.830462
9,20,NonRESBGvbarpCC1pi,-0.664328
9,21,NonRESBGvbarpCC2pi,0.865065
9,22,NonRESBGvbarpNC1pi,1.76197
9,23,NonRESBGvbarpNC2pi,0.194234
9,24,NonRESBGvbarnCC1pi,0.221909
9,25,NonRESBGvbarnCC2pi,-1.08823
9,26,NonRESBGvbarnNC1pi,-0.640733
9,27,NonRESBGvbarnNC2pi,0.0333579
9,28,AhtBY,0.0353597
9,29,BhtBY,-0.426916
9,30,CV1uBY,-0.256746
9,31,CV2uBY,1.21169
9,32,AGKYxF1pi,-0.462866
9,33,AGKYpT1pi,2.47766
9,34,MFP_pi,-0.214814
9,35,MFP_N,0.527938
9,36,FrCEx_pi,1.37756
9,37,FrInel_pi,0.510787
9,38,FrAbs_pi,-2.1415
9,39,FrCEx_N,-1.13185
9,40,FrInel_N,-0.400929
9,41,FrAbs_N,0.651115
9,42,RDecBR1gamma,1.22972
9,43,RDecBR1eta,0.410357
9,44,XSecShape_CCMEC,1
9,45,RPA_CCQE,0.151
10,0,MaCCQE,2.69144
10,1,CoulombCCQE,-3.27317
10,2,MaNCEL,0.348212
10,3,EtaNCEL,-0.48674
10,4,NormCCMEC,1.49809
10,5,NormNCMEC,-0.996363
10,6,FracPN_CCMEC,0.426639
10,7,FracDelta_CCMEC,-0.0464032
10,8,MaCCRES,1.19994
10,9,MvCCRES,-0.0749651
10,10,MaNCRES,0.0689111
10,11,MvNCRES,-0.169702
10,12,NonRESBGvpCC1pi,-0.840615
10,13,NonRESBGvpCC2pi,-0.231535
10,14,NonRESBGvpNC1pi,-0.159821
10,15,NonRESBGvpNC2pi,0.016772
10,16,NonRESBGvnCC1pi,0.522237
10,17,NonRESBGvnCC2pi,0.138231
10,18,NonRESBGvnNC1pi,-0.625862
10,19,NonRESBGvnNC2pi,-0.890818
10,20,NonRESBGvbarpCC1pi,-0.732149
10,21,NonRESBGvbarpCC2pi,0.816414
10,22,NonRESBGvbarpNC1pi,-0.456668
10,23,NonRESBGvbarpNC2pi,-1.31575
10,24,NonRESBGvbarnCC1pi,0.104033
10,25,NonRESBGvbarnCC2pi,-1.92818
10,26,NonRESBGvbarnNC1pi,-0.338422
10,27,NonRESBGvbarnNC2pi,-1.05209
10,28,AhtBY,-0.0866788
10,29,BhtBY,1.07678
10,30,CV1uBY,-0.12468
10,31,CV2uBY,-0.433459
10,32,AGKYxF1pi,0.223846
10,33,AGKYpT1pi,-0.48321
10,34,MFP_pi,0.391665
10,35,MFP_N,-1.23818
10,36,FrCEx_pi,0.696223
10,37,FrInel_pi,1.44331
10,38,FrAbs_pi,1.50105
10,39,FrCEx_N,0.173766
10,40,FrInel_N,1.09288
10,41,FrAbs_N,-0.959364
10,42,RDecBR1gamma,1.03936
10,43,RDecBR1eta,-1.16911
10,44,XSecShape_CCMEC,1
10,45,RPA_CCQE,0.151
11,0,MaCCQE,3.52492
11,1,CoulombCCQE,0.692344
11,2,MaNCEL,-0.389906
11,3,EtaNCEL,1.00391
11,4,NormCCMEC,1.67286
11,5,NormNCMEC,0.413464
11,6,FracPN_CCMEC,-0.681554
11,7,FracDelta_CCMEC,0.088992
11,8,MaCCRES,0.631457
11,9,MvCCRES,1.29454
11,10,MaNCRES,0.200468
11,11,MvNCRES,1.32661
11,12,NonRESBGvpCC1pi,0.486976
11,13,NonRESBGvpCC2pi,1.3194
11,14,NonRESBGvpNC1pi,-0.109304
11,15,NonRESBGvpNC2pi,-0.744402
11,16,NonRESBGvnCC1pi,1.36343
11,17,NonRESBGvnCC2pi,-0.55757
11,18,NonRESBGvnNC1pi,-0.77259
11,19,NonRESBGvnNC2pi,1.12107
11,20,NonRESBGvbarpCC1pi,-0.644953
11,21,NonRESBGvbarpCC2pi,-1.39829
11,22,NonRESBGvbarpNC1pi,0.512084
11,23,NonRESBGvbarpNC2pi,-0.560425
11,24,NonRESBGvbarnCC1pi,-0.610982
11,25,NonRESBGvbarnCC2pi,0.915494
11,26,NonRESBGvbarnNC1pi,-1.66879
11,27,NonRESBGvbarnNC2pi,-0.314415
11,28,AhtBY,0.321953
11,29,BhtBY,-1.37526
11,30,CV1uBY,-1.2114
11,31,CV2uBY,0.629979
11,32,AGKYxF1pi,1.02992
11,33,AGKYpT1pi,0.659609
11,34,MFP_pi,-0.0986644
11,35,MFP_N,-0.907215
11,36,FrCEx_pi,-0.245867
11,37,FrInel_pi,-0.0627736
11,38,FrAbs_pi,-1.98261
11,39,FrCEx_N,-0.0806026
11,40,FrInel_N,-0.366381
11,41,FrAbs_N,-1.17386
11,42,RDecBR1gamma,-0.0103128
11,43,RDecBR1eta,-1.42237
11,44,XSecShape_CCMEC,1
11,45,RPA_CCQE,0.151
12,0,MaCCQE,7.70242
12,1,CoulombCCQE,0.95775
12,2,MaNCEL,0.221962
12,3,EtaNCEL,-0.71598
12,4,NormCCMEC,-0.448045
12,5,NormNCMEC,2.83161
12,6,FracPN_CCMEC,-0.278234
12,7,FracDelta_CCMEC,-0.503749
12,8,MaCCRES,0.131883
12,9,MvCCRES,0.592462
12,10,MaNCRES,1.20897
12,11,MvNCRES,0.0921919
12,12,NonRESBGvpCC1pi,-0.46038
12,13,NonRESBGvpCC2pi,1.31489
12,14,NonRESBGvpNC1pi,0.897969
12,15,NonRESBGvpNC2pi,-0.398076
12,16,NonRESBGvnCC1pi,0.687619
12,17,NonRESBGvnCC2pi,-0.504859
12,18,NonRESBGvnNC1pi,-0.878092
12,19,NonRESBGvnNC2pi,0.81946
12,20,NonRESBGvbarpCC1pi,-0.022049
12,21,NonRESBGvbarpCC2pi,-0.00148615
12,22,NonRESBGvbarpNC1pi,0.23141
12,23,NonRESBGvbarpNC2pi,0.634394
12,24,NonRESBGvbarnCC1pi,-1.0042
12,25,NonRESBGvbarnCC2pi,-1.40455
12,26,NonRESBGvbarnNC1pi,-1.41372
12,27,NonRESBGvbarnNC2pi,-0.230252
12,28,AhtBY,-0.445138
12,29,BhtBY,-0.919324
12,30,CV1uBY,0.026734
12,31,CV2uBY,1.36321
12,32,AGKYxF1pi,1.47016
12,33,AGKYpT1pi,1.30657
12,34,MFP_pi,-0.178075
12,35,MFP_N,-0.0572449
12,36,FrCEx_pi,2.41936
12,37,FrInel_pi,-0.246689
12,38,FrAbs_pi,0.843375
12,39,FrCEx_N,0.617231
12,40,FrInel_N,1.39586
12,41,FrAbs_N,0.270024
12,42,RDecBR1gamma,1.82261
12,43,RDecBR1eta,-0.399427
12,44,XSecShape_CCMEC,1
12,45,RPA_CCQE,0.151
13,0,MaCCQE,5.87432
13,1,CoulombCCQE,0.551572
13,2,MaNCEL,0.517592
13,3,EtaNCEL,1.75855
13,4,NormCCMEC,1.37023
13,5,NormNCMEC,-0.253612
13,6,FracPN_CCMEC,0.584904
13,7,FracDelta_CCMEC,-0.474943
13,8,MaCCRES,0.365845
13,9,MvCCRES,-1.08449
13,10,MaNCRES,0.177088
13,11,MvNCRES,-1.09225
13,12,NonRESBGvpCC1pi,-0.032073
13,13,NonRESBGvpCC2pi,1.8311
13,14,NonRESBGvpNC1pi,0.295685
13,15,NonRESBGvpNC2pi,0.0106123
13,16,NonRESBGvnCC1pi,0.471605
13,17,NonRESBGvnCC2pi,0.107574
13,18,NonRESBGvnNC1pi,0.412933
13,19,NonRESBGvnNC2pi,1.21585
13,20,NonRESBGvbarpCC1pi,1.61553
13,21,NonRESBGvbarpCC2pi,-1.76448
13,22,NonRESBGvbarpNC1pi,-1.17486
13,23,NonRESBGvbarpNC2pi,-0.265793
13,24,NonRESBGvbarnCC1pi,1.95369
13,25,NonRESBGvbarnCC2pi,-0.132895
13,26,NonRESBGvbarnNC1pi,-1.73566
13,27,NonRESBGvbarnNC2pi,1.20688
13,28,AhtBY,0.555878
13,29,BhtBY,-0.087714
13,30,CV1uBY,-0.211428
13,31,CV2uBY,0.495249
13,32,AGKYxF1pi,1.45439
13,33,AGKYpT1pi,0.743721
13,34,MFP_pi,0.0549003
13,35,MFP_N,0.921816
13,36,FrCEx_pi,1.74676
13,37,FrInel_pi,0.217863
13,38,FrAbs_pi,1.48795
13,39,FrCEx_N,0.132961
13,40,FrInel_N,0.19762
13,41,FrAbs_N,-0.763759
13,42,RDecBR1gamma,-0.83955
13,43,RDecBR1eta,0.276829
13,44,XSecShape_CCMEC,1
13,45,RPA_CCQE,0.151
14,0,MaCCQE,4.20008
14,1,CoulombCCQE,-1.49152
14,2,MaNCEL,1.1795
14,3,EtaNCEL,0.956503
14,4,NormCCMEC,0.882551
14,5,NormNCMEC,0.0780017
14,6,FracPN_CCMEC,0.560309
14,7,FracDelta_CCMEC,0.857895
14,8,MaCCRES,1.36944
14,9,MvCCRES,-1.42065
14,10,MaNCRES,1.2027
14,11,MvNCRES,-0.049949
14,12,NonRESBGvpCC1pi,1.16386
14,13,NonRESBGvpCC2pi,0.0548544
14,14,NonRESBGvpNC1pi,0.113422
14,15,NonRESBGvpNC2pi,-1.08568
14,16,NonRESBGvnCC1pi,0.238805
14,17,NonRESBGvnCC2pi,-0.0995441
14,18,NonRESBGvnNC1pi,-1.28282
14,19,NonRESBGvnNC2pi,-0.0907245
14,20,NonRESBGvbarpCC1pi,-0.61433
14,21,NonRESBGvbarpCC2pi,0.448484
14,22,NonRESBGvbarpNC1pi,-0.548646
14,23,NonRESBGvbarpNC2pi,0.429425
14,24,NonRESBGvbarnCC1pi,-0.447739
14,25,NonRESBGvbarnCC2pi,-0.0876505
14,26,NonRESBGvbarnNC1pi,1.49894
14,27,NonRESBGvbarnNC2pi,0.301775
14,28,AhtBY,0.577834
14,29,BhtBY,-0.563941
14,30,CV1uBY,0.270025
14,31,CV2uBY,2.03273
14,32,AGKYxF1pi,-0.130622
14,33,AGKYpT1pi,-0.119576
14,34,MFP_pi,-0.973736
14,35,MFP_N,0.270011
14,36,FrCEx_pi,-0.387708
14,37,FrInel_pi,-0.18787
14,38,FrAbs_pi,-1.47494
14,39,FrCEx_N,0.0361381
14,40,FrInel_N,0.0936853
14,41,FrAbs_N,0.117535
14,42,RDecBR1gamma,-0.474759
14,43,RDecBR1eta,0.758099
14,44,XSecShape_CCMEC,1
14,45,RPA_CCQE,0.151
15,0,MaCCQE,0.819276
15,1,CoulombCCQE,-0.051649
15,2,MaNCEL,-0.354408
15,3,EtaNCEL,1.01616
15,4,NormCCMEC,1.21309
15,5,NormNCMEC,-0.271847
15,6,FracPN_CCMEC,-0.6192
15,7,FracDelta_CCMEC,1.57501
15,8,MaCCRES,0.471133
